
Catalog of Globular Cluster Systems in Galaxies

This version:  January 2013

********************************************************************************

                        COPYRIGHT NOTICE!

        THE DATA IN THIS CATALOG ARE SUPPLIED FREE OF CHARGE TO
ALL USERS.  ANY THIRD PARTY WHO SUPPLIES THIS CATALOG IN TURN TO
OTHER USERS MUST REFER TO THE ORIGINAL SOURCE, WHICH IS THIS WEBSITE,
AND MUST DO SO WITHOUT CHARGE OF ANY FEE.

*******************************************************************************

Please acknowledge the use of this catalog in any published work
you derive from it.  The proper citation is the original paper,

	Harris, W.E., Harris, G.L.H, and Alessi, M. 2013, ApJ 772, 82.

 	Explanation of table by column:
1,2:  Galaxy identification
3,4:  Galaxy right ascension (decimal hours) and declination (decimal degrees)
5:     Morphological type
6,7,8:  Galaxy distance, uncertainty, and distance estimation method adopted
9,10,11:  Foreground extinction, absolute visual magnitude, and estimated uncertainty
12,13:  Absolute K-band magnitude (near infrared) and uncertainty
14,15,16:  Estimated total number of globular clusters in the galaxy, uncertainty, and literature source (see reference list following the table)
17,18:  Velocity dispersion of the central bulge of the galaxy, and uncertainty
19,20:  Effective radius enclosing half the galaxy light, and uncertainty
21,22:  "Dynamical mass" of galaxy, defined as  (4 R_e sig_e^2 / G), and uncertainty
23,24:  Calculated total mass in the globular cluster system, and uncertainty
25,26,27:  Mass of central black hole in the galaxy, and upper and lower uncertainties


 Galaxy      Other ID                RA         DEC      Type       D       +-     Method        A_V     M_V^T    +-     M_K      +-       N(GC)     +-    Source      sig_e    +-       R_e     +-    lg M_d     +-     lg M_G    +-    lg M_B    +      -
                                     hr         deg                Mpc                                                                                                 km/s              kpc            M_sun             M_sun           M_sun

MilkyWay         nid                 nd          nd       Sbc       nd      nd    geometry      0.000  -21.300   0.300   nd       nd       160.0    10.0   44         105.00   20.00    0.70    0.10    9.856    0.116    7.66    0.03    6.61    0.04    0.04
NGC1427        FCC-276            3.7053874  -35.3927754  E       20.52    2.00   SBF           0.037  -20.740   0.240 -23.426   0.102     500.0    60.0   34/60      162.10    3.50    2.98    0.30   10.862    0.043    8.12    0.05    nd      nd      nd  
NGC1428        FCC-277            3.7063777  -35.1533815  E5      20.69    0.76   SBF           0.028  -18.700   0.200  999999   99999      42.0    13.0   55          81.70   10.50    0.91    0.03    9.751    0.074    6.93    0.12    nd      nd      nd  
NGC1426          nid              3.7136417  -22.1083611  E       24.10    2.08   SBF           0.055  -20.580   0.240 -23.245   0.102     240.0    20.0   18         150.50    2.20    3.00    0.26   10.801    0.037    7.79    0.03    nd      nd      nd  
ESO-358-G56    FCC-288            3.7229538  -33.9400199  dS0     21.68    0.80   SBF           0.016  -16.960   0.200 -18.967   0.177      17.0     6.0   55          48.00    3.00    0.95    0.04    9.307    0.040    6.46    0.13    nd      nd      nd  
NGC1439          nid              3.7472206  -21.9207205  E1      26.67    1.91   SBF           0.099  -20.840   0.200 -23.570   0.104     260.0    30.0   18/60      150.20    5.40    4.46    0.32   10.972    0.037    7.84    0.05    nd      nd      nd  
ESO-358-G59    FCC-301            3.7509996  -35.9726965  E4      20.89    2.02   SBF           0.025  -18.490   0.200 -21.001   0.108      21.0     7.0   55          46.70    1.60    0.95    0.03    9.284    0.024    6.62    0.12    nd      nd      nd  
FCC-303        nid                3.7539203  -36.9367901  dE1     19.69    0.70   SBF           0.029  -17.360   0.200 -17.432   0.261      22.0     7.0   55          27.00   11.00    nd      nd      nd       nd       6.59    0.12    nd      nd      nd  
NGC1460        FCC-310            3.7704769  -36.6963961  SB0     19.94    0.61   SBF           0.030  -18.900   0.200 -21.542   0.109      39.0    12.0   55          60.40    7.20    1.92    0.06    9.815    0.069    6.91    0.12    nd      nd      nd  
FCC-316        nid                3.7837212  -36.4375213  dE1N    20.90    2.10   Hubble        0.030  -15.470   0.200   nd       nd        21.1     6.9   67           nd      nd      nd      nd      nd       nd       6.49    0.12    nd      nd      nd  
ESO-358-G66    FCC-324            3.7979611  -36.4716667  dS0     20.08    0.72   SBF           0.026  -17.220   0.200 -18.314   0.239      21.0     7.0   55           nd      nd      1.82    0.06    nd       nd       6.56    0.12    nd      nd      nd  
ESO-359-G02    FCC-335            3.8435348  -35.9093678  E       19.43    0.62   SBF           0.040  -18.180   0.200 -20.176   0.128      14.0     5.0   55          53.50    2.60    1.59    0.05    9.626    0.032    6.43    0.13    nd      nd      nd  
NGC1483          nid              3.8798889  -47.4775000  SBbc    15.70    1.10   Hubble        0.023  -18.320   0.200 -20.397   0.124       5.0     4.0   22           nd      nd      1.66    0.12    nd       nd       5.99    0.26    nd      nd      nd  
IC2006         ESO-359-G07        3.9079102  -35.9672037  E       20.24    0.76   SBF           0.030  -20.270   0.200 -23.052   0.102     132.0    40.0   55         123.70    2.30    2.38    0.09   10.531    0.020    7.52    0.11    nd      nd      nd  
UGCA-86        nid                3.9973611   67.1436111  Im       2.96    0.30   TRGB          2.583  -16.130   0.200 -14.510   0.205      11.0     4.0   37           nd      nd      nd      nd      nd       nd       6.24    0.13    nd      nd      nd  
IC2035          nid               4.1505312  -45.5176012  E/S0    20.80    1.50   Hubble        0.037  -19.710   0.200 -22.724   0.101      55.0    10.0   18         106.70    2.30    0.65    0.05    9.838    0.035    7.10    0.07    nd      nd      nd  
NGC1533          nid              4.1644027  -56.1184631  E/S0    21.38    4.09   SBF           0.051  -20.980   0.540 -24.031   0.102     250.0    30.0   21         185.40    4.90    3.15    0.60   11.003    0.077    7.83    0.05    nd      nd      nd  
NGC1549          nid              4.2625382  -55.5922874  E       19.68    1.70   SBF           0.042  -21.720   0.270 -24.691   0.103     140.0    60.0   10         202.30    4.00    4.76    0.41   11.258    0.038    7.63    0.15    nd      nd      nd  
NGC1553          nid              4.2695796  -55.7800240  S0      18.54    1.51   SBF           0.044  -21.980   0.260 -25.064   0.102     540.0   160.0   10         177.20    4.30    5.15    0.42   11.177    0.037    8.23    0.11    nd      nd      nd  
NGC1581          nid              4.4124889  -54.9420000  E/S0    22.80    1.60   Hubble        0.024  -18.960   0.300 -21.944   0.107       4.0     4.0   61           nd      nd      1.15    0.08    nd       nd       5.93    0.30    nd      nd      nd  
NGC1600          nid              4.5277361   -5.0860833  E3      66.00    4.60   Hubble        0.147  -23.330   0.200 -26.073   0.102    2850.0   500.0   88         334.30    7.20   14.53    1.01   12.179    0.032    9.04    0.07    nd      nd      nd  
UGCA-92        nid                4.5343056   63.6161111  Im       3.01    0.30   TRGB          2.173  -14.710   0.200   nd       nd         2.0     2.0   37           nd      nd      1.01    0.11    nd       nd       5.44    0.30    nd      nd      nd  
ESO-118-034        nid            4.6715111  -58.7441889  S0      16.60    1.20   Hubble        0.043  -17.450   0.200 -20.517   0.115       3.0     2.0   61           nd      nd      0.50    0.04    nd       nd       5.73    0.22    nd      nd      nd  
NGC1700          nid              4.9489833   -4.8659744  E4      44.26    3.38   SBF           0.142  -22.140   0.200 -25.157   0.102    1320.0   270.0   12         238.50    4.20    3.97    0.30   11.322    0.033    8.63    0.08    nd      nd      nd  
UGC-3274       A539-2             5.2769200    6.4417000  MG     115.70    8.10   Hubble        0.459  -21.100   0.200 -25.549   0.127    6870.0  1970.0   7          195.20   10.70    nd      nd      nd       nd       9.28    0.11    nd      nd      nd  
CGCG421-019    A539-1             5.2819853    6.5524695  E      138.40    9.70   Hubble        0.522  -22.300   0.200 -25.687   0.105    6850.0  2100.0   7          311.60   17.60    nd      nd      nd       nd       9.35    0.12    nd      nd      nd  
LMC            PGC17223           5.3929433  -69.7561040  Irr      0.05    0.00   Cepheids/RRL  0.206  -18.360   0.200   nd       nd        16.0     5.0   37           nd      nd      nd      nd      nd       nd       6.50    0.12    nd      nd      nd  
ESO-306-017    PGC017570          5.6685313  -40.8362699  E3/cD  154.26    7.71   Hubble        0.108  -23.700   0.200 -26.430   0.119   11577.0  1046.0   1a         269.90   13.10   37.39    6.00   12.404    0.045    9.67    0.04    nd      nd      nd  
NGC2082          nid              5.6975333  -64.3010833  SBb     17.80    1.30   Hubble        0.192  -19.380   0.210 -21.912   0.112      27.0    17.0   22           nd      nd      2.23    0.16    nd       nd       6.78    0.21    nd      nd      nd  
NGC2329        A569-1             7.1522255   48.6156184  E/S0    84.00    5.90   Hubble        0.236  -22.410   0.290 -25.246   0.104    2120.0   780.0   7          239.90    4.70    8.58    0.50   11.662    0.027    8.85    0.14    0.00    8.36    0.00
UGC-3755        nid               7.2310228   10.5210645  Im       7.41    0.80   TRGB          0.244  -15.500   0.200   nd       nd         9.0     3.0   37           nd      nd      0.86    0.10    nd       nd       6.12    0.12    nd      nd      nd  
ESO-059-01        nid             7.5217875  -68.1875311  Ibsm     4.57    0.50   TRGB          0.402  -14.600   0.200   nd       nd         1.0     1.0   37           nd      nd      1.06    0.20    nd       nd       5.13    0.30    nd      nd      nd  
NGC2434          nid              7.5808894  -69.2842123  E0      21.58    3.08   SBF           0.821  -21.230   0.350 -23.873   0.103     143.0    40.0   36         186.90    6.80    2.89    0.41   10.972    0.061    7.61    0.11    nd      nd      nd  
UGC-3974        nid               7.6987222   16.8025000  Ibm      8.04    0.80   TRGB          0.092  -15.330   0.200   nd       nd         4.0     2.0   37           nd      nd      nd      nd      nd       nd       5.76    0.18    nd      nd      nd  
UGC-4115        nid               7.9505994   14.3910145  Im       7.72    0.80   TRGB          0.077  -15.120   0.200   nd       nd         5.0     2.0   37           nd      nd      1.01    0.10    nd       nd       5.85    0.15    nd      nd      nd  
UGC-4289       A634-1             8.2624655   58.3208441  E      117.90    8.30   Hubble        0.161  -22.460   0.260 -25.540   0.106    2690.0   740.0   7          245.20    7.30   10.33    0.73   11.762    0.034    8.96    0.11    nd      nd      nd  
DDO-52        nid                 8.4745681   41.8566093  Im      10.40    1.00   TRGB          0.100  -14.980   0.200   nd       nd         2.0     2.0   37           nd      nd      1.50    0.15    nd       nd       5.45    0.30    nd      nd      nd  
KK-197         PGC-46680          8.6325556  -57.9738889  Im       3.87    0.40   TRGB          0.466  -13.040   0.200 -16.482   0.123       3.0     2.0   37           nd      nd      nd      nd      nd       nd       5.58    0.22    nd      nd      nd  
NGC2683          nid              8.8781100   33.4211000  Sb       7.73    1.39   SBF           0.109  -19.800   0.460 -23.125   0.101     120.0    40.0   82         117.50    9.00    2.09    0.38   10.429    0.083    7.45    0.12    nd      nd      nd  
NGC2758          nid              9.0920136  -19.0427700  SBbc    32.40    2.30   Hubble        0.346  -20.570   0.200 -21.147   0.143      99.0    32.0   22           nd      nd      2.66    0.19    nd       nd       7.41    0.12    nd      nd      nd  
A754-1         PGC25714           9.1423333   -9.6300000  E      239.30   16.80   Hubble        0.172  -24.190   0.200 -26.531   0.113   16400.0  4800.0   6          346.00    9.80   33.24    2.33   12.569    0.034    9.85    0.11    nd      nd      nd  
A754-2         PGC25721           9.1441444   -9.6252500  S      240.00   16.00   Hubble        0.170  -22.100   0.200 -24.611   0.135    4600.0   800.0   6            nd      nd      nd      nd      nd       nd       9.17    0.07    nd      nd      nd  
NGC2768          nid              9.1937446   60.0372538  E       22.39    2.62   SBF           0.147  -22.030   0.360 -24.769   0.105     720.0   240.0   61         181.10    3.70    6.80    0.80   11.317    0.050    8.36    0.12    nd      nd      nd  
NGC2778          nid              9.2067750   35.0274167  E       22.91    3.39   SBF           0.069  -19.450   0.360 -22.294   0.104      50.0    30.0   36         175.00    8.00    1.75    0.26   10.698    0.065    7.05    0.20    7.15    0.30    0.30
NGC2832        A779-1             9.3296571   33.7495665  E2     102.80    7.20   Hubble        0.060  -23.250   0.200 -26.368   0.103    4400.0  1000.0   7/53       334.00    7.40   12.73    0.89   12.121    0.032    9.22    0.09    0.00    9.95    0.00
NGC2865          nid              9.3917154  -23.1616091  E3      37.84    3.65   SBF           0.270  -21.500   0.260 -24.461   0.102     712.0   108.0   92         171.60    3.50    2.63    0.25   10.858    0.042    8.32    0.06    nd      nd      nd  
ESO-498-005        nid            9.4113051  -25.0926736  SABd    32.00    3.00   TF            0.108  -19.700   0.200 -22.322   0.116      58.0    12.0   22           nd      nd      3.77    0.30    nd       nd       7.13    0.08    nd      nd      nd  
NGC2915        PGC26761           9.4365278  -76.6263889  SBab     4.06    0.20   TRGB          0.753  -16.120   0.200 -18.298   0.115      >3       0.0   66a          nd      nd      0.31    0.06    nd       nd        nd      nd     nd      nd      nd  
NGC2902          nid              9.5146999  -14.7358814  S0      33.30    2.40   Hubble        0.217  -20.620   0.310 -23.531   0.104      35.0    20.0   61           nd      nd      2.48    0.18    nd       nd       6.96    0.20    nd      nd      nd  
NGC3056          nid              9.9091340  -28.2980459  S0-a    12.19    1.49   SBF           0.296  -19.060   0.410 -21.824   0.103      23.0    10.0   61          74.50    3.10    0.97    0.12    9.700    0.056    6.69    0.16    nd      nd      nd  
NGC3031        M81                9.9258686   69.0654379  Sab      3.55    0.07   TRGB/Cepheid  0.266  -21.080   0.200 -23.949   0.102     300.0   100.0   72/89      143.00    7.00    3.41    0.07   10.812    0.030    7.92    0.12    7.84    0.11    0.06
NGC3073          nid             10.0144637   55.6189152  E/S0    33.73   18.03   SBF           0.033  -19.270   1.440 -21.840   0.126     130.0    20.0   18          34.80    3.90    1.66    0.89    9.272    0.193    7.45    0.06    nd      nd      nd  
ESO-499-037        nid           10.0616193  -27.0278003  SABc    16.90    3.42   TF            0.205  -19.150   0.200 -18.474   0.153      14.0    11.0   22           nd      nd      3.61    0.73    nd       nd       6.48    0.25    nd      nd      nd  
NGC3115          nid             10.0872139   -7.7185556  S0      10.00    0.50   SBF/PNLF      0.157  -21.190   0.200 -24.134   0.101     550.0    80.0   26         230.00   11.00    1.51    0.06   10.871    0.033    8.19    0.06    8.96    0.19    0.15
NGC3115DW1     PGC029300         10.0948889   -7.9813889  dEN     10.10    0.30   SBF/PNLF/TRG  0.174  -17.640   0.200 -19.987   0.130      60.0    20.0   25/80       29.00   10.00    2.50    0.80    9.291    0.200    7.04    0.12    nd      nd      nd  
IKN           nid                10.1349850   68.3992608  dSph     3.75    0.40   TRGB          0.168  -11.510   0.200   nd       nd         5.0     2.0   37           nd      nd      nd      nd      nd       nd       5.78    0.15    nd      nd      nd  
NGC3156          nid             10.2114599    3.1293359  S0      22.39    1.49   SBF           0.113  -19.560   0.270 -22.214   0.107     115.0    15.0   18          83.50    6.80    1.56    0.10   10.005    0.054    7.42    0.05    nd      nd      nd  
CGCG065-015    A999-1            10.3899275   12.8350704  E      144.40   10.10   Hubble        0.111  -22.300   0.200 -25.698   0.107    2160.0   780.0   7          272.20   13.10    2.40    0.30   11.219    0.058    8.85    0.13    nd      nd      nd  
NGC3226          nid             10.3908331   19.8983583  E       23.55    2.75   SBF           0.075  -20.530   0.460 -23.298   0.107     470.0   200.0   46         193.50    5.10    3.93    0.46   11.136    0.050    8.08    0.15    nd      nd      nd  
IC613          A1016-1           10.4521639   11.0106843  E      143.90   10.10   Hubble        0.085  -21.850   0.200 -25.108   0.111    1330.0   440.0   7          261.90    5.90    1.72    0.20   11.041    0.049    8.61    0.12    nd      nd      nd  
NGC3258          nid             10.4815547  -35.6053845  E1      32.06    4.25   SBF           0.279  -21.330   0.330 -24.254   0.103    6000.0   150.0   5          276.10    9.40    4.65    0.62   11.518    0.058    9.24    0.01    nd      nd      nd  
NGC3268          nid             10.5001969  -35.3255622  E2      34.83    4.25   Hubble        0.341  -21.600   0.340 -24.594   0.104    4750.0   150.0   5          223.50   30.20    5.71    0.70   11.424    0.089    9.15    0.01    nd      nd      nd  
NGC3259          nid             10.5430151   65.0410954  SABb    25.70    1.80   Hubble        0.040  -20.350   0.300 -21.838   0.105      29.0    16.0   22           nd      nd      2.12    0.20    nd       nd       6.86    0.19    nd      nd      nd  
NGC3311          nid             10.6118836  -27.5278788  E2      44.26    4.00   SBF           0.263  -21.840   0.200 -25.156   0.107   16500.0  2000.0   20         185.20    7.00   18.91    1.88   11.781    0.046    9.71    0.05    nd      nd      nd  
NGC3348          nid             10.7861083   72.8396667  E0      41.50    2.90   Hubble        0.245  -22.190   0.310 -25.152   0.101    3100.0  1000.0   20         238.40   10.00    5.26    0.37   11.444    0.038    9.00    0.12    nd      nd      nd  
NGC3377          nid             10.7951044   13.9856408  E5      11.04    0.25   TRGB/SBF      0.113  -19.950   0.200 -22.786   0.104     191.0    15.0   18         145.00    7.00    1.84    0.04   10.557    0.030    7.66    0.03    8.25    0.19    0.29
NGC3379        M105              10.7971083   12.5816111  E1      10.20    0.50   TRGB          0.081  -20.900   0.200 -23.782   0.102     216.0    42.0   26/86      206.00   10.00    1.79    0.14   10.849    0.043    7.77    0.08    8.04    0.22    0.26
NGC3384          nid             10.8046995   12.6294009  SB0     10.80    0.77   SBF           0.088  -20.490   0.200 -23.427   0.102     120.0    30.0   42a        143.00    7.00    1.40    0.09   10.426    0.040    7.49    0.10    7.04    0.16    0.26
LGC-0050       LSBC-D640-11      10.8504167   13.3333333  dE/N    11.00    2.00   Leogroup      0.070  -14.130   0.200   nd       nd         7.5     4.0   67           nd      nd      nd      nd      nd       nd       6.00    0.19    nd      nd      nd  
NGC3414          nid             10.8544917   27.9748333  S0      25.23    4.14   SBF           0.081  -21.100   0.420 -24.037   0.101     400.0   200.0   61         236.80    7.50    2.54    0.42   11.122    0.069    8.05    0.18    8.40    0.06    0.08
NGC3455          nid             10.9086324   17.2847178  SABb    20.60    1.50   Hubble        0.091  -17.860   0.200 -21.192   0.113      27.0    14.0   22           nd      nd      nd      nd      nd       nd       6.70    0.18    nd      nd      nd  
NGC3489          nid             11.0051603   13.9011902  S0      12.08    0.86   SBF           0.055  -20.180   0.200 -23.046   0.100     100.0    50.0   61         104.50    2.30    1.19    0.09   10.082    0.033    7.39    0.18    nd      nd      nd  
UGC-6203       A1177-1           11.1623418   21.7587474  E      141.60    9.90   Hubble        0.049  -22.100   0.200 -26.072   0.107    4880.0  1400.0   7          268.30    7.10    nd      nd      nd       nd       9.19    0.11    nd      nd      nd  
NGC3557          nid             11.1660280  -37.5392450  E       45.71    4.87   SBF           0.327  -23.250   0.290 -26.132   0.101    1075.0   740.0   71         267.70    8.30    7.56    0.81   11.703    0.048    8.61    0.23    nd      nd      nd  
NGC3550        A185-1            11.1773588   28.7677111  S0     152.70   10.70   Hubble        0.074  -22.800   0.300 -25.968   0.105    6600.0  1650.0   7          192.10    6.70    nd      nd      nd       nd       9.37    0.10    nd      nd      nd  
NGC3556        M108              11.1919311   55.6741454  SBc     12.42    0.90   Hubble        0.057  -20.500   0.200 -23.436   0.102     290.0    80.0   82           nd      nd      5.98    0.43    nd       nd       7.87    0.11    nd      nd      nd  
NGC3585          nid             11.2214178  -26.7548640  E7      21.20    1.73   SBF           0.212  -21.810   0.230 -24.952   0.102     300.0   100.0   81         213.00   10.00    4.27    0.37   11.256    0.045    7.96    0.12    8.51    0.15    0.13
NGC3599          nid             11.2574983   18.1103312  S0      20.32    1.76   SBF           0.068  -19.660   0.330 -22.276   0.103      29.0    10.0   61          67.30    4.40    2.35    0.20    9.996    0.051    6.82    0.13    nd      nd      nd  
NGC3607          nid             11.2818155   18.0518988  S0      20.00    2.00   Hubble        0.069  -21.500   0.200 -24.519   0.103     600.0   200.0   60         229.00   11.00    4.18    0.42   11.310    0.050    8.25    0.12    8.15    0.10    0.15
NGC3608          nid             11.2830365   18.1485382  E2      23.00    2.00   SBF           0.069  -21.110   0.200 -23.720   0.101     450.0   200.0   60         182.00    9.00    3.74    0.25   11.062    0.040    8.10    0.16    8.67    0.09    0.10
NGC3610          nid             11.3070194   58.7862222  E5      35.10    4.00   SBF           0.033  -22.020   0.270 -24.822   0.101     400.0   150.0   40/60/99   162.00    4.60    2.62    0.05   10.806    0.019    8.10    0.14    nd      nd      nd  
IC712          A1314-1           11.5803620   49.0777584  E      146.60   10.30   Hubble        0.045  -22.680   0.200 -25.945   0.105    3470.0   910.0   7          345.30   13.80    3.00    0.50   11.522    0.070    9.08    0.10    nd      nd      nd  
NGC3818          nid             11.6992674   -6.1555814  E       36.31   11.78   SBF           0.118  -21.210   0.880 -23.946   0.105     590.0    40.0   18         194.80    4.70    4.00    1.30   11.150    0.123    8.22    0.03    nd      nd      nd  
NGC3842        A1367-1           11.7339363   19.9496957  E       94.90    6.70   Hubble        0.071  -23.140   0.200 -25.812   0.103   12000.0  3000.0   7/13       315.00    8.00   17.38    1.23   12.205    0.033    9.65    0.10    9.99    0.12    0.13
NGC3870          nid             11.7657223   50.1998609  S0      13.60    1.00   Hubble        0.052  -17.680   0.270 -19.853   0.108      13.0     5.0   61          27.60    5.70    0.51    0.04    8.558    0.115    6.38    0.14    nd      nd      nd  
NGC3923          nid             11.8504901  -28.8059748  E4      22.91    3.15   SBF           0.275  -22.280   0.540 -25.330   0.104    2800.0   300.0   26/92/101  256.60    6.30    6.51    0.89   11.601    0.058    8.96    0.04    nd      nd      nd  
NGC4013          nid             11.9753802   43.9467640  Sb      17.74    1.60   TF            0.055  -20.070   0.310 -23.617   0.102     190.0    40.0   39/82        nd      nd      4.80    0.43    nd       nd       7.66    0.08    nd      nd      nd  
NGC4033          nid             12.0096242  -17.8424655  E       21.09    2.36   SBF           0.157  -20.080   0.370 -22.939   0.103     160.0    15.0   18         143.20   12.30    1.34    0.15   10.408    0.066    7.59    0.04    nd      nd      nd  
NGC4073          nid             12.0741877    1.8959276  E/cD    89.00    4.50   Hubble        0.074  -23.290   0.200 -26.266   0.104    8300.0   500.0   10a/43a    277.20    8.60    3.38    0.30   11.383    0.044    9.50    0.03    nd      nd      nd  
IC3019         VCC-9             12.1561944   13.9924123  E       17.14    0.73   SBF           0.106  -18.040   0.200   nd       nd        25.7     6.4   77           nd      nd      nd      nd      nd       nd       6.69    0.10    nd      nd      nd  
IC3025         VCC-21            12.1730797   10.1884664  S0-a    19.24    1.19   SBF           0.058  -16.830   0.200 -19.005   0.194      20.7     6.5   77           nd      nd      nd      nd      nd       nd       6.54    0.12    nd      nd      nd  
NGC4150          nid             12.1760162   30.4015662  S0      13.74    1.61   SBF           0.060  -19.110   0.390 -21.708   0.101       7.0     4.0   56          85.00    8.40    1.18    0.14    9.899    0.073    6.18    0.20    0.00    6.38    0.00
NGC4157          nid             12.1845490   50.4849043  SABb    15.43    3.10   TF            0.071  -19.660   0.200 -23.586   0.103      80.0    20.0   82          90.10    4.30    2.64    0.53   10.300    0.083    7.26    0.10    nd      nd      nd  
IC3032         VCC-33            12.1854828   14.2749158  E       15.04    0.95   SBF           0.101  -16.390   0.200 -18.727   0.139       2.2     4.2   77           nd      nd      nd      nd      nd       nd       5.55    0.46    nd      nd      nd  
NGC4163          nid             12.2025600   36.1693490  Irr      2.91    0.04   TRGB          0.054  -14.210   0.200 -14.954   0.137       2.0     2.0   37           nd      nd      0.38    nd      nd       nd       5.42    0.30    nd      nd      nd  
KKH-77         UGC-7242          12.2356685   66.0946866  I        5.42    0.50   TRGB          0.051  -14.580   0.200   nd       nd         2.0     2.0   37           nd      nd      0.47    0.05    nd       nd       5.44    0.30    nd      nd      nd  
NGC4203          nid             12.2513933   33.1972193  E/S0    15.14    1.31   SBF           0.040  -20.080   0.420 -23.499   0.101     175.0   100.0   61         162.40    5.90    1.49    0.13   10.563    0.042    7.63    0.20    0.00    8.08    0.00
IC3065         VCC-140           12.2534963   14.4328746  S0      16.40    0.57   SBF           0.098  -17.510   0.200   nd       nd        21.3     6.1   77           nd      nd      nd      nd      nd       nd       6.58    0.11    nd      nd      nd  
VCC-158        nid               12.2611473   15.0055694  dE3N    16.00    2.00   Virgo         0.108  -15.980   0.200   nd       nd        10.4     5.4   67           nd      nd      nd      nd      nd       nd       6.20    0.18    nd      nd      nd  
NGC4216        VCC-167           12.2650908   13.1495788  Sb      16.00    1.00   Virgo         0.087  -21.810   0.200 -24.506   0.102     620.0   310.0   43a        206.80    9.60    2.73    0.30   11.036    0.050    8.28    0.18    nd      nd      nd  
VCC-200        nid               12.2760290   13.0314159  E       18.22    0.69   SBF           0.084  -17.120   0.200 -18.800   0.156      15.5     5.8   77           nd      nd      nd      nd      nd       nd       6.43    0.14    nd      nd      nd  
IC3101         VCC-230           12.2887939   11.9435126  E       17.82    0.93   SBF           0.076  -16.210   0.200 -18.345   0.228      28.7     6.7   77           nd      nd      nd      nd      nd       nd       6.65    0.09    nd      nd      nd  
VCC-240        nid               12.2920300   14.3556000  dE2N    16.00    2.00   Virgo         0.090  -13.610   0.200   nd       nd         8.5     4.8   67           nd      nd      0.45    0.05    nd       nd       6.04    0.19    nd      nd      nd  
IC3131         VCC-0308          12.3141181    7.8616444  E       27.70    2.00   Hubble        0.058  -17.600   0.200 -21.128   0.163       8.0     3.0   61           nd      nd      nd      nd      nd       nd       6.16    0.14    nd      nd      nd  
NGC4261          nid             12.3230597    5.8250408  E2      31.62    2.89   SBF           0.060  -22.140   0.210 -25.143   0.104    1242.0   250.0   9          315.00   15.00    7.42    0.68   11.836    0.047    8.60    0.08    8.71    0.08    0.09
NGC4262        VCC-355           12.3251724   14.8775797  SB0     15.42    0.43   SBF           0.116  -19.510   0.200 -22.597   0.101     100.0    31.0   77         189.70   14.30    0.82    0.02   10.441    0.045    7.35    0.12    nd      nd      nd  
UGC-7369        nid              12.3274280   29.8830783  dSph    11.60    1.00   TRGB          0.053  -16.170   0.200 -18.534   0.131      22.0     7.0   37           nd      nd      0.84    0.10    nd       nd       6.54    0.12    nd      nd      nd  
NGC4267        VCC-369           12.3292582   12.7984218  SB0     15.82    0.54   SBF           0.157  -20.220   0.200 -23.171   0.103     179.0    17.0   77         164.70    5.30    3.18    0.11   10.905    0.024    7.65    0.04    nd      nd      nd  
NGC4278          nid             12.3352206   29.2806358  E       16.07    1.55   SBF           0.095  -20.970   0.340 -23.856   0.101    1100.0   300.0   46/60      237.20    5.20    2.68    0.26   11.147    0.042    8.48    0.10    0.00    8.23    0.00
NGC4291          nid             12.3382472   75.3709444  E       26.18    4.16   SBF           0.121  -20.740   0.380 -23.686   0.101     950.0   170.0   60         242.00   12.00    2.19    0.35   11.077    0.070    8.40    0.07    8.98    0.10    0.18
VCC-437        nid               12.3468960   17.4871256  S0      17.17    0.65   SBF           0.084  -17.820   0.200 -19.653   0.135      42.1     7.9   77          47.00    6.00    2.97    0.11    9.785    0.073    6.89    0.07    nd      nd      nd  
VCC-452        nid               12.3513338   11.7546998  dE4N    16.00    2.00   Virgo         0.077  -15.880   0.200   nd       nd        18.1     6.2   67          23.80    1.10    nd      nd      nd       nd       6.44    0.13    nd      nd      nd  
VCC-503        nid               12.3639500    8.5410000  dE3N    16.00    2.00   Virgo         0.051  -14.880   0.200   nd       nd         2.9     4.3   67           nd      nd      nd      nd      nd       nd       5.61    0.39    nd      nd      nd  
VCC-529        nid               12.3690531    9.8944991  dE4N    16.00    2.00   Virgo         0.065  -13.470   0.200   nd       nd         4.1     4.1   67           nd      nd      nd      nd      nd       nd       5.72    0.30    nd      nd      nd  
NGC4309A       VCC-538           12.3707500    7.1672222  E       22.95    0.97   SBF           0.054  -16.240   0.200 -18.532   0.248       0.6     3.5   77           nd      nd      nd      nd      nd       nd       4.98    0.83    nd      nd      nd  
VCC-543        UGC-7436          12.3720924   14.7608234  S0      15.72    0.57   SBF           0.087  -17.410   0.200 -19.648   0.144      18.1     5.5   77          30.50    2.00    2.13    0.08    9.265    0.041    6.51    0.12    nd      nd      nd  
VCC-571        nid               12.3780998    7.9503588  S0-a    23.79    1.12   SBF           0.059  -17.320   0.200 -19.408   0.189      10.9     5.6   77           nd      nd      nd      nd      nd       nd       6.28    0.18    nd      nd      nd  
NGC4318        VCC-575           12.3786891    8.1982701  E       22.08    0.62   SBF           0.083  -18.500   0.210 -21.382   0.108      18.0     6.1   77          95.00    3.90    0.77    0.02    9.811    0.027    6.56    0.13    nd      nd      nd  
